Id,Name,Address Line 1,City,State,Zip,Tel,Payer Id
141,AARP HEALTH CARE OPTIONS,PO BOX 740819,ALTLANTA,GA,30374-0819,800-227-7789,87726
244,AARP Health Care Options 2,PO BOX 740819,ATLANTA,GA,303740819,877-842-3210,EN826
702,AARP MEDICARE ADVANTAGE PPO,P.O. BOX 31362,SALT LAKE CITY,UT,84131,877-842-3210,87726
197,AARP MEDICARE COMPLETE 2,PO BOX 31362,SALT LAKE CITY,UT,84131-0295,877-842-3210,87726
2,AARP MEDICARE HMO,PO BOX 31362,Salt Lake City,UT,84131-0362,800-711-6088,87726
546,AARP Medicare Supplement,P O BOX 740819,ATLANTA,GA,30374-0819,800-523-5800,36273
214,AARP Medicare Supplement 2,P O BOX 740189,ATLANTA,GA,30374-0819,800-523-5800,36273
328,Access Community Harmony,1240 E DIEHL RD,NAPERVILLE,IL,60563-4802,,SPRNT
610,ACCESS COMMUNITY HEALTH NETWORK,600 W FULTON ST,CHICAGO,IL,60661-1262,312-526-2812,ACCOM
559,ACM,535 Griswold st,Detroit,MI,48226,877-331-3134,J1236
841,"Acuity Group of Mississippi, LLC",PO BOX 21515,Eagan,MN,55121,888-330-7292,41205
740,Administrative Concepts Inc,PO BOX 4000,COLLEGEVILLE,PA,19426-9000,800-290-3607,22384
164,"Administrative Concepts, Inc",994 Old Eagle School Rd,Wayne,PA,19087-1802,888-293-9229,22384
165,"Administrative Concepts, Inc 2",994 Old Eagle School Rd,Wayne,PA,19087-1802,888-293-9229,22384
208,Administrative District Council 1,,,IL,,,SPRNT
664,ADVOCATE AETNA MEDICARE ADVANTAGE,PO BOX 0589,MT PROSPECT,IL,60056-0589,847-298-6000,60054
562,Advocate Blue Advantage HMO,PO BOX 0430,MT PROSPECT,IL,60056-0443,847-298-6000,65093
376,ADVOCATE BLUE CARE DIRECT,PO BOX 0569,MT PROSPECT,IL,60056-0405,847-298-6000,65093
385,ADVOCATE Health Partners,PO BOX 211286,EAGAN,MN,55121-2786,847-298-6000,65093
279,ADVOCATE ILLINOIS MASONIC PHY PART,PO BOX 0503,MT PROSPECT,IL,60056,847-298-6000,65093
260,ADVOCATE Physician PARTNERS,PO BOX 0443,MOUNT PROSPECT,IL,60056-0547,847-298-6000,65093
203,ADVOCATE TRINITY HMO,PO BOX 0377,MT PROSPECT,IL,600560503,847-298-6000,65093
706,Aetna,P.O. BOX 981543,EL PASO,TX,799981543,866-299-2900,60054
224,AETNA MEDICARE PPO,P.O. BOX 981106,EL PASO,TX,799981106,888-632-3862,60054
849,AETNA Better Health Inc MMAI MMP 2,PO BOX 982970,El Paso,TX,79998-2970,866-600-2139,26337
480,AETNA BETTER HEALTH INC MMAI/MMP,PO BOX 982970,El Paso,TX,79998-2970,866-600-2139,68024
465,AETNA BETTER HEALTH OF ILLINOIS,PO BOX 982970,El Passo,TX,79998-2970,866-329-4701,68024
826,Aetna Choice POS,P.O. BOX 14079,Lexington,KY,40512-4079,800-435-7324,60054
827,Aetna Choice POS 2,PO BOX 14079,Lexington,KY,40512-4079,800-435-7324,60054
226,AETNA GLOBAL PPO,P.O. BOX 30259,TAMPA,FL,33630-0000,800-414-0596,60054
56,AETNA HMO,P.O. BOX 981106,EL PASO,TX,799981106,888-632-3862,60054
511,AETNA MEDICARE HMO,P.O. BOX 981106,EL PASO,TX,799981106,888-632-3862,60054
817,Aetna Medicare PPO,P.O. BOX 981107,EL PASO,TX,799981106,888-632-3862,60054
259,AETNA MEDICARE PPO,PO BOX 981106,El Paso,TX,799981106,888-632-3862,60054
319,Aetna Medicare PPO 2,PO BOX 981106,El Paso,TX,799981106,888-632-3862,60054
824,Aetna National Advantage Plan,P.O. BOX 14079,Lexington,KY,40512-4079,800-435-7324,60054
825,Aetna National Advantage Plan 2,PO BOX 14079,Lexington,KY,40512-4079,800-435-7324,60054
249,AETNA Open Access,PO BOX 981106,El Paso,TX,799981106,888-632-3862,60054
723,Aetna Open Access Managed Care,P.O. BOX 14079,Lexington,KY,40512-4079,888-632-3862,60054
802,Aetna Open Access Managed Choice2,PO BOX 14079,Lexington,KY,40512-4079,888-632-3862,60054
728,Aetna Open Choice PPO,P.O. BOX 981543,EL PASO,TX,79998-1543,888-238-6277,60054
603,Aetna POS,P.O. BOX 981106,EL PASO,TX,799981106,888-632-3862,60054
147,Aetna POS,P.O. BOX 981107,EL PASO,TX,799981107,888-632-3862,60054
713,AETNA POS 2,PO BOX 981106,EL PASO,TX,799981106,888-632-3862,60054
4,AETNA PPO,P.O. BOX 981107,EL PASO,TX,799981106,888-632-3862,60054
122,Aetna PPO 2,PO BOX 981106,El Paso,TX,799981106,888-632-3862,60054
780,AETNA PPO 2,PO BOX 981543,EL PASO,TX,799981543,888-632-3862,60054
201,AETNA SELECT OPEN ACCESS,P.O. BOX 981105,EL PASO,TX,79998110,888-632-3862,60054
844,AETNA SELECT OPEN ACCESS 2,PO BOX 981105,EL PASO,TX,799981105,888-632-3862,60054
580,Aetna Senior Supplemental Insurance,P.O. BOX 14770,Lexington,KY,40512-4770,800-264-4000,62118
858,Aetna Student Services,P.O. BOX 14101,Lexington,KY,60054,800-783-7447,60054
125,Alicare,PO BOX 5442,White Plains,NY,106025442,800-471-8408,13550
614,All Savers Ins 2,PO BOX 31375,SALT LAKE CITY,UT,841310375,800-291-2634,81400
323,All Savers Insurance,PO BOX 31375,SALT LAKE CITY,UT,841310375,800-291-2634,81400
324,All Savers Insurance 2,PO BOX 31375,Salt Lake City,UT,841310375,800-291-2634,81400
604,Allianz Global Assistance,P.O. Box 277,Waterloo,,n2j4a9,,
693,Allied Benefit Systems Inc,PO BOX 909786-60690,CHICAGO,IL,606909786,888-292-0272,37308
694,Allied Benefit Systems Inc 2,PO BOX 909786-60690,CHICAGO,IL,606909786,888-292-0272,75068
5,ALLIED BENEFITS SYSTEM,PO BOX 909786-60690,CHICAGO,IL,606909786,312-906-8080,75068
39,ALLIED BENEFITS SYSTEM 2,PO BOX 909786-60690,CHICAGO,IL,606909786,312-906-8080,37308
549,ALLIED BENEFITS SYSTEMS,PO BOX 188061,CHATTANOOGA,TN,37422-8061,312-906-8080,37308
682,Allied National Benefits,PO BOX 247,ALPHARETTA,GA,30009-0181,800-650-3199,7689
847,Allways Health Partners,PO BOX 30783,SALT LAKE CITY,UT,841310783,866-683-6441,39024
747,AMA Insurance,330 N Wabash Ave,Chicago,IL,60611-5885,888-627-5883,58379
688,AMA Insurance Agency Inc,PO BOX 804238,CHICAGO,IL,60680-4104,888-627-5883,
382,AMBETTER,PO BOX 5010,FARMINGTON,MO,63640-5010,855-745-5507,68069
838,Ameri Health Caritas VIP Care Plus,PO BOX 7074,London,KY,40742-7074,888-667-0318,77013
126,Ameriben,P.O. BOX 7186,Boise,ID,83707,866-504-6814,75137
110,American Apparel,P.O. Box 2220,Newport Beach,CA,92658,800-649-9121,24735
115,American Apparel 2,PO BOX 2220,Newport Beach,CA,92658,800-649-9121,24735
794,"American Health Resources, Inc",11 N 2ND AVE,SAINT CHARLES,IL,60174-1961,630-762-1717,AHR01
839,"American Health Resources, Inc 2 UB",11 N 2ND AVE,SAINT CHARLES,IL,60174-1961,800-570-3757,AHR01
88,American Medical and Life Insurance,P O BOX 1353,Chicago,IL,60690,888-264-1512,SPRNT
574,AMERICAN POSTAL WORKERS UNION APWU,PO BOX 1358,GLEN BURNIE,MD,21060-1358,800-222-2798,44444
869,American Public Life Insurance Company,PO BOX 248950,Oklahoma City,OK,73124-8950,800-256-8606,60801
873,American Public Life Insurance Company 2,PO BOX 248950,Oklahoma City,OK,73124-8950,800-256-8606,60801
725,American Worker,PO BOX 211704,EAGAN,MN,55121-3704,888-798-9480,93158
